# audited Stellar commit
bd0f4540b2496a57314e4e29bc6fcf8ff691b60f
# audited Xaman commit
01e2538b08efa2c960233911fad02633f31ce6cd
area	path	classification	stellar_blob	xaman_blob	evidence	handling
freighter	src/freighter/shared/api/types/types.ts	Stellar modified derivative	e4a0e4dc0d7fe6a0009b61e993641b69b8f32101		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/constants/applicationState.ts	Stellar modified derivative	5ddc373995c39ebb86eb357466d378f17541fb54		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/constants/hardwareWallet.ts	Stellar modified derivative	e2c35ce7d68375f337c445298bbfaa0e70ba8678		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/constants/services.ts	Stellar modified derivative	8bcce031d51f797ea3ab9a164b18179687ee0b48		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/constants/soroban/asset-list.ts	Stellar modified derivative	95f7a976255b8f73cc0d6ffa7746a2d6847c39f3		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/constants/stellar.ts	Stellar modified derivative	20e9c66a16506e5e124c82fcc8011a512be59992		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/helpers/soroban/sorobanRpcUrl.ts	Stellar modified derivative	f26b038b819fd5e40c741ae9310676dbe3327297		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Alt Bold.otf	Xaman inherited	445ea06ffa9404d5defeb29f34e1cedb5c7ec326	445ea06ffa9404d5defeb29f34e1cedb5c7ec326	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Alt Light.otf	Xaman inherited	82fa9ff4228113f2c5ae96d0d48325192ce9e0ee	82fa9ff4228113f2c5ae96d0d48325192ce9e0ee	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Alt Thin.otf	Xaman inherited	d0aac914f8b6d998e17373c51d854c8fc91b5d4e	d0aac914f8b6d998e17373c51d854c8fc91b5d4e	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Black.otf	Xaman inherited	2dca494120595aeafcb926259b1d50b305db4ff8	2dca494120595aeafcb926259b1d50b305db4ff8	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Bold.otf	Xaman inherited	1ea77534aa78b23efbb6f9c755d54537553a6094	1ea77534aa78b23efbb6f9c755d54537553a6094	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Extrabold.otf	Xaman inherited	9f6755f418678adc53deab33b21d80443e9af7cf	9f6755f418678adc53deab33b21d80443e9af7cf	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Regular.otf	Xaman inherited	018b6f831e5a74082faccf1a4652bbbbed9cf051	018b6f831e5a74082faccf1a4652bbbbed9cf051	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/Proxima Nova Thin.otf	Xaman inherited	87218e518a0d4ac26241aaa5cee16b5697be7bea	87218e518a0d4ac26241aaa5cee16b5697be7bea	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/UbuntuMono-Bold.ttf	Xaman inherited	cdfb14b5597ab8db66b91257bf08b12a00b382f7	cdfb14b5597ab8db66b91257bf08b12a00b382f7	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/UbuntuMono-BoldItalic.ttf	Xaman inherited	c08c87789bfba771d15cd5e180f7766e19079482	c08c87789bfba771d15cd5e180f7766e19079482	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/UbuntuMono-Regular.ttf	Xaman inherited	4b3bd7cd2fde0ebe8afd9106dfe7f62ae5f959b6	4b3bd7cd2fde0ebe8afd9106dfe7f62ae5f959b6	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/assets/fonts/UbuntuMono-RegularItalic.ttf	Xaman inherited	b47ee3b1d0a7d19e2d2c4f013a756dcc02811f2c	b47ee3b1d0a7d19e2d2c4f013a756dcc02811f2c	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/background_pattern_light.png	Stellar modified derivative	fecb023d0f93db9d10b3e23c26412d287bb6bab4	52ff988e6952d624a97a4d78d0ec64746229000b	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/background_pattern.png	Stellar modified derivative	0e928f2da864471e3288ccb2275403160d218e5f	d41ff82435d9b96f28d5795b37a47c590e52ecf8	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/background_shapes_light.png	Stellar modified derivative	3c8beaedc0008933b7b4cfb798a7102ec93769f3	52ff988e6952d624a97a4d78d0ec64746229000b	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/background_shapes.png	Stellar modified derivative	55b26be5b88e9baf542f1a6f75357c2bb37ea812	d41ff82435d9b96f28d5795b37a47c590e52ecf8	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/create.png	Xaman inherited	3aec47dfb01e32a811f22f5231d399be677cf32c	3aec47dfb01e32a811f22f5231d399be677cf32c	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/formerly_logo.png	Stellar modified derivative	5538947342a22fc64ad22a568abe769e2e093941	7e2537f8e2988a933b52f1c6bfeced7cacf8f385	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/ic_stat_icon_xaman_android_notification.png	Stellar modified derivative	d067199c295e314ecf043d3a133fbd2cc4279747	dd4f0682ada7896a62af4945688a27e34e1d2697	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_account.png	Xaman inherited	49a37edfb1bac721081dd95d93b5d2487caaf9a2	49a37edfb1bac721081dd95d93b5d2487caaf9a2	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_activity.png	Xaman inherited	c6201982ac96b245ce794e8cfe3a932d1c9063d5	c6201982ac96b245ce794e8cfe3a932d1c9063d5	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_alert_triangle.png	Xaman inherited	72eebe1046c819a80a6bf4eec0ac1b3133445ed0	72eebe1046c819a80a6bf4eec0ac1b3133445ed0	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_apps.png	Stellar modified derivative	fdc8eb4a4666fda1281bce6f2e588045e43b21de	d356b347734df4caa53dc5cba468644f314547b8	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_arrow_down.png	Xaman inherited	10d43f8beb950b914d30d495e5849a30290787d1	10d43f8beb950b914d30d495e5849a30290787d1	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_arrow_right_long.png	Xaman inherited	b57e8f7f5dffc00c96574e67f81cb52afe095aee	b57e8f7f5dffc00c96574e67f81cb52afe095aee	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_bell.png	Xaman inherited	c46b3d6e76017e74d91d9189106e3ec99c49bc58	c46b3d6e76017e74d91d9189106e3ec99c49bc58	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_book.png	Xaman inherited	e897bb831ee85c71a53786ae05bf57b590ae27ce	e897bb831ee85c71a53786ae05bf57b590ae27ce	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_camera.png	Xaman inherited	e08686bd3de3a252f1ed192c5d6946f041429a32	e08686bd3de3a252f1ed192c5d6946f041429a32	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_check_xaman.png	Xaman inherited	cf175078ef68f85f6321a5d0e385d5b7e01f6145	cf175078ef68f85f6321a5d0e385d5b7e01f6145	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_check.png	Xaman inherited	d264eec244ab9e9869711c0583b1339abe133eff	d264eec244ab9e9869711c0583b1339abe133eff	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_chevron_down.png	Xaman inherited	a65db5eedf93a5f3f63a084c7f7d678ae2ee2d15	a65db5eedf93a5f3f63a084c7f7d678ae2ee2d15	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_chevron_left.png	Xaman inherited	3d60d85b5699ace3e667ef3a6c2300693aaa37e8	3d60d85b5699ace3e667ef3a6c2300693aaa37e8	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_chevron_right.png	Xaman inherited	89c4e8f9ea5fcbdf39aee0e6670be312237927e4	89c4e8f9ea5fcbdf39aee0e6670be312237927e4	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_chevron_up.png	Xaman inherited	0b231f507ffd7a33f634c3e16ddf6946698a1ece	0b231f507ffd7a33f634c3e16ddf6946698a1ece	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_clipboard.png	Xaman inherited	391e06b51992e1870c1e48b35bb96bc1ec6f1d0b	391e06b51992e1870c1e48b35bb96bc1ec6f1d0b	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_clock.png	Stellar modified derivative	3aff78057fd8550ac84a7666c3e7a6b65ae3e19c		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_coins.png	Xaman inherited	fe2fe4c9e9a5a0da7a31a9685412a03b1b738ec2	fe2fe4c9e9a5a0da7a31a9685412a03b1b738ec2	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_copy.png	Xaman inherited	a0cec278b57db3d68266d031a3cdd21f6a578401	a0cec278b57db3d68266d031a3cdd21f6a578401	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_corner_left_up.png	Xaman inherited	542adfc82e0a8aeb3ada1f659336d1f6436e3a66	542adfc82e0a8aeb3ada1f659336d1f6436e3a66	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_corner_right_down.png	Xaman inherited	8a73bf859323163179cf1c4ecaec043ac310abfd	8a73bf859323163179cf1c4ecaec043ac310abfd	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_corner_right_up.png	Xaman inherited	d305b0b06695d98b6466d59c99141a15e51e9511	d305b0b06695d98b6466d59c99141a15e51e9511	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_edit.png	Xaman inherited	87b69a35c3bcfa90d534c8125519f8356e97a0d4	87b69a35c3bcfa90d534c8125519f8356e97a0d4	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_events.png	Xaman inherited	41522145e9853a0ae020938babd57e10a10b3847	41522145e9853a0ae020938babd57e10a10b3847	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_external_link.png	Xaman inherited	184ad60359a15a59a3902ba13f815bb7c6addeb3	184ad60359a15a59a3902ba13f815bb7c6addeb3	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_eye_off.png	Xaman inherited	03823e79360e5c6198430eef8d2b40efd54ea6e0	03823e79360e5c6198430eef8d2b40efd54ea6e0	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_eye.png	Xaman inherited	b6c79be06788f66d8424a37948c971ddb1251caf	b6c79be06788f66d8424a37948c971ddb1251caf	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_file_text.png	Xaman inherited	9984257130ef25649863c274e17380ea5993a782	9984257130ef25649863c274e17380ea5993a782	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_filter.png	Xaman inherited	d4861b74cc86dcd9162002e2d91495ba25c8d5a7	d4861b74cc86dcd9162002e2d91495ba25c8d5a7	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_fingerprint.png	Stellar modified derivative	af67d33d8abd381e8ea0a9c759d901b6e873c4c1	3bb76baece28e28a713d676db41aff96ec21d177	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_fingerprintx.png	Xaman inherited	400a43c7a07903c35e71e62bf250a78aaecd999f	400a43c7a07903c35e71e62bf250a78aaecd999f	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_flask_conical.png	Xaman inherited	7d6a35863257e7720418f70bf64cb3b269544be7	7d6a35863257e7720418f70bf64cb3b269544be7	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_globe.png	Xaman inherited	32aa5ca9b21a198ebe4a2d48912e4bb7072011e8	32aa5ca9b21a198ebe4a2d48912e4bb7072011e8	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_help_circle.png	Xaman inherited	3f6e097206970dab70012b78c12d37f10d4300f6	3f6e097206970dab70012b78c12d37f10d4300f6	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_hide_zero.png	Xaman inherited	a64c8f6e27576d1ee161556760c3a55c8fe882aa	a64c8f6e27576d1ee161556760c3a55c8fe882aa	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_import.png	Xaman inherited	fce4bae6142f255a4eacdc1b4cba84d40e49caba	fce4bae6142f255a4eacdc1b4cba84d40e49caba	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_info.png	Xaman inherited	9065b649e7f80e4384af93f58946b3f58ffd72aa	9065b649e7f80e4384af93f58946b3f58ffd72aa	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_key.png	Xaman inherited	063c787ad2111b44752f3a391b059889a93cb18e	063c787ad2111b44752f3a391b059889a93cb18e	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_link.png	Xaman inherited	6b574ec9b4a564f4c8d1f97020b42a2773a8ed0d	6b574ec9b4a564f4c8d1f97020b42a2773a8ed0d	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_lock.png	Xaman inherited	a6d1bb70846e4bc84138575a381761010f614270	a6d1bb70846e4bc84138575a381761010f614270	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_minus.png	Xaman inherited	0c4aef3b14fc950fcb9e0d3479343a6b1eb5def6	0c4aef3b14fc950fcb9e0d3479343a6b1eb5def6	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_more_horizontal.png	Xaman inherited	66ff4b1ac6cd4e1828a834f398b55c19156a0749	66ff4b1ac6cd4e1828a834f398b55c19156a0749	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_more_vertical.png	Xaman inherited	933e0affba51d380f29cd8f7ba6d3ce14d5f954a	933e0affba51d380f29cd8f7ba6d3ce14d5f954a	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_plus.png	Xaman inherited	b69e4877dbe000281b31d26bf59ce3c7a75ad6d7	b69e4877dbe000281b31d26bf59ce3c7a75ad6d7	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_pro.png	Xaman inherited	989c9bfdeb0dfaae93a38f788343ac2c294f7946	989c9bfdeb0dfaae93a38f788343ac2c294f7946	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_profile.png	Xaman inherited	0ce313f08a16a38c57ccc12424bc6ce9a06540d6	0ce313f08a16a38c57ccc12424bc6ce9a06540d6	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_qr.png	Xaman inherited	25b26b0640aecf9df8281cafe9ef2838c83dcf3c	25b26b0640aecf9df8281cafe9ef2838c83dcf3c	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_radio.png	Xaman inherited	0b5b73eccc33d1f5e7daad1085c315125da6bce8	0b5b73eccc33d1f5e7daad1085c315125da6bce8	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_refresh.png	Xaman inherited	9e9c664fc93f69251c8157c9416d9de33d340a98	9e9c664fc93f69251c8157c9416d9de33d340a98	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_reorder_handle.png	Xaman inherited	14fe0f6626cade06c4da86be2321075f0da695da	14fe0f6626cade06c4da86be2321075f0da695da	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_reorder.png	Xaman inherited	1cd7ae7ef81e77dfcd15a6f9d9cf6ddcfed46267	1cd7ae7ef81e77dfcd15a6f9d9cf6ddcfed46267	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_repeat.png	Xaman inherited	b5f3cab92989a50c01babb9312594f0de6cc8362	b5f3cab92989a50c01babb9312594f0de6cc8362	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_request.png	Xaman inherited	caa64573bc9605eb4be16c1e3267b559074a9043	caa64573bc9605eb4be16c1e3267b559074a9043	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_scan.png	Xaman inherited	51cc5fb2a87d4cea406e0df27afb7f12863ce31a	51cc5fb2a87d4cea406e0df27afb7f12863ce31a	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_search.png	Xaman inherited	d5050cf87ea8b06c94cdc31b384f81fa36bd57e3	d5050cf87ea8b06c94cdc31b384f81fa36bd57e3	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_send_v2.png	Xaman inherited	8e2b5c24ff31ce11132fc78a0286b279fcd4beeb	8e2b5c24ff31ce11132fc78a0286b279fcd4beeb	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_send.png	Xaman inherited	15d2cfe7e37e38b96ad104d703bfb77f7891ca44	15d2cfe7e37e38b96ad104d703bfb77f7891ca44	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_settings.png	Xaman inherited	c992655c8bedb8b6815f508a81cc2c4586592044	c992655c8bedb8b6815f508a81cc2c4586592044	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_share.png	Xaman inherited	e768527e4c24031841476aeb021f3eb39e20b22b	e768527e4c24031841476aeb021f3eb39e20b22b	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_shield.png	Xaman inherited	530fcba28a937598ab5b7ab37f3385b804260436	530fcba28a937598ab5b7ab37f3385b804260436	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_show_zero.png	Xaman inherited	ea6a633d42a52fe617fcddf463358ad541779133	ea6a633d42a52fe617fcddf463358ad541779133	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_sliders.png	Xaman inherited	04ad5fc9ffcb162569562e9054c86b924c3e28ab	04ad5fc9ffcb162569562e9054c86b924c3e28ab	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_smartphone.png	Xaman inherited	aa3642756441018c049601e385d47ba3d4aecb8a	aa3642756441018c049601e385d47ba3d4aecb8a	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_sort_top.png	Xaman inherited	c05b5d8b1af4835ac7e63b1a4f99209e4dbecb1f	c05b5d8b1af4835ac7e63b1a4f99209e4dbecb1f	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_star_full.png	Xaman inherited	270577bec23f40dc407ae34fdd3025a5d7a53088	270577bec23f40dc407ae34fdd3025a5d7a53088	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_star.png	Xaman inherited	24482c70e8710ebe34f29d7f8041d7cb138f68f5	24482c70e8710ebe34f29d7f8041d7cb138f68f5	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_swap.png	Xaman inherited	7d16a9dde928a37dd9e94e1d21a8a537f2359bb0	7d16a9dde928a37dd9e94e1d21a8a537f2359bb0	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_switchaccount.png	Xaman inherited	758abceafef02a3015b072a450766a8869d69d2c	758abceafef02a3015b072a450766a8869d69d2c	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_tabbar_actions_light.png	Stellar modified derivative	d28d3dfdef719c295be9810e8345c9770d1dee0a	724dcbb75850b1a6a809b036415d766021a2f125	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_tabbar_actions.png	Stellar modified derivative	4be5985cbe85e4afac41ac8ac0898779650e668e	2c85aa385de915f4f4b14b2f9b6019a804726fc8	same path exists in audited Xaman commit with different blob	clean-room behavior rewrite; direct migration requires approval record
local-assets	android/app/src/main/res/drawable-hdpi/icon_tabbar_events_selected_light.png	Xaman inherited	e7f906aec2bc42b4cbda47d807597a4b39b1ad37	e7f906aec2bc42b4cbda47d807597a4b39b1ad37	same path and same blob at audited commits	clean-room behavior rewrite; direct migration requires approval record
